SPECIESNAME,YEAR,AREA,REGION,COUNT
American Coot,1951,11,nh,0
American Coot,1951,16,nh,2950
American Coot,1951,21,nh,1655
American Coot,1951,3,nh,0
American Coot,1951,31,ch,1000
American Coot,1951,32,ch,0
American Coot,1951,33,ch,0
American Coot,1951,36,ch,1220
American Coot,1951,37,ch,16900
American Coot,1951,43,ch,650
American Coot,1951,44,ch,1000
American Coot,1951,45,ch,1200
American Coot,1951,46,ch,19700
American Coot,1951,47,ch,2800
American Coot,1951,51a,oh,300
American Coot,1951,54,lw,40290
American Coot,1951,57,lw,23800
American Coot,1951,60a,oh,3500
American Coot,1951,63,lw,34600
American Coot,1951,65,ec,0
American Coot,1951,66,ec,4875
American Coot,1951,67,ec,113250
American Coot,1951,68,ec,3100
American Coot,1951,69,ec,36775
American Coot,1951,70,ec,36124
American Coot,1951,71,ec,88800
American Coot,1951,72,uw,264
American Coot,1951,74,uw,780
American Coot,1951,79,uw,7970
American Coot,1951,84,uw,24600
American Coot,1951,86,uw,40290
American Coot,1951,87,uw,0
American Coot,1951,88,uw,0
American Coot,1952,11,nh,85
American Coot,1952,16,nh,610
American Coot,1952,21,nh,675
American Coot,1952,31,ch,0
American Coot,1952,32,ch,0
American Coot,1952,33,ch,2950
American Coot,1952,36,ch,1660
American Coot,1952,37,ch,2450
American Coot,1952,4,nh,0
American Coot,1952,41,ch,50
American Coot,1952,43,ch,235
American Coot,1952,44,ch,215
American Coot,1952,45,ch,350
American Coot,1952,46,ch,8670
American Coot,1952,47,ch,600
American Coot,1952,50,ch,50
American Coot,1952,51a,oh,800
American Coot,1952,53,lw,1620
American Coot,1952,53a,oh,400
American Coot,1952,54,lw,8150
American Coot,1952,55,lw,920
American Coot,1952,56,lw,13910
American Coot,1952,57,lw,1775
American Coot,1952,58,lw,1725
American Coot,1952,59,lw,70
American Coot,1952,60,lw,0
American Coot,1952,60a,oh,2100
American Coot,1952,61,lw,1925
American Coot,1952,62,lw,100
American Coot,1952,63,lw,5275
American Coot,1952,64,lw,1950
American Coot,1952,65,ec,700
American Coot,1952,66,ec,47750
American Coot,1952,67,ec,455400
American Coot,1952,68,ec,9100
American Coot,1952,69,ec,154800
American Coot,1952,70,ec,10750
American Coot,1952,71,ec,236200
American Coot,1952,72,uw,0
American Coot,1952,74,uw,975
American Coot,1952,79,uw,4730
American Coot,1952,84,uw,58771
American Coot,1952,86,uw,11840
American Coot,1952,87,uw,0
American Coot,1952,88,uw,90
